DateTime,Total
Sun Feb 19 07:03:06 2023,30.26978672
Sat Feb 25 07:03:30 2023,32.93866026
Sun Feb 26 07:03:15 2023,34.25286414
Mon Feb 27 07:03:18 2023,34.59571446
Tue Feb 28 07:03:30 2023,34.06216477
Wed Mar  1 07:03:39 2023,33.1090966
Thu Mar  2 07:02:31 2023,34.80918025
Fri Mar  3 07:00:00 2023,33.83507562
Sat Mar  4 07:00:05 2023,31.89561935
Sun Mar  5 07:00:05 2023,31.62675091
Mon Mar  6 07:00:05 2023,31.74854034
Tue Mar  7 07:06:34 2023,31.83343603
Wed Mar  8 07:03:17 2023,31.77681044
Thu Mar  9 07:00:42 2023,32.24973588
Fri Mar 10 07:00:47 2023,34.03715282
Sat Mar 11 07:00:22 2023,33.92993144
Sun Mar 12 07:00:23 2023,34.08925434
Mon Mar 13 07:00:23 2023,33.89386734
Tue Mar 14 07:00:21 2023,34.69459448
