id,symbol,timeframe,ATR,ATR_m,EMA,subhag,smooth,RSI,Andean,Uselong,Useshort,UseTP,UseTP2,UseSL,Tail_SL,leverage,Pivot,RR1,RR2,TP1,TP2,Risk,maxMargin,hedge,hedgeTF
A1,BNB/USDT:USDT,6h,12,1.6,30,30,30,25,30,True,True,True,False,True,True,50,15,3,4.5,50,50,$2,%10,True,30m
A2,HNT/USDT:USDT,6h,12,1.6,30,30,30,25,30,True,True,True,False,True,True,25,15,3,4.5,50,50,$2,%10,True,30m
A3,AVAX/USDT:USDT,6h,12,1.6,30,30,30,25,30,True,True,True,False,True,True,50,30,3,4.5,50,50,$2,%5,True,30m
A4,DOGE/USDT:USDT,6h,12,1.6,30,30,30,25,30,True,True,True,False,True,True,50,30,3,4.5,50,50,$2,%5,True,30m
A5,SOL/USDT:USDT,6h,12,1.6,30,30,30,25,30,True,True,True,False,True,True,50,30,3,4.5,50,50,$2,%5,True,30m
A6,ATOM/USDT:USDT,6h,12,1.6,30,30,30,25,30,True,True,True,False,True,True,25,30,3,4.5,50,50,$2,%5,True,30m
A7,DEFI/USDT:USDT,6h,12,1.6,30,30,30,25,30,True,True,True,False,True,True,50,30,3,4.5,50,50,$2,%5,True,30m
A8,FIL/USDT:USDT,6h,12,1.6,30,30,30,25,30,True,True,True,False,True,True,50,60,3,4.5,50,50,$1.5,%5,True,30m
A9,BTC/BUSD:BUSD,1d,12,1.6,30,30,30,25,30,True,True,True,False,True,True,125,60,3,4.5,50,50,$15,%20,True,6h
A10,ETH/BUSD:BUSD,1d,12,1.6,30,30,30,25,30,True,True,True,False,True,True,100,60,3,4.5,50,50,$15,%20,True,6h
A11,GMT/USDT:USDT,1d,12,1.6,30,30,30,25,30,True,True,True,False,True,True,50,60,3,4.5,50,50,$4,%10,True,1h
A12,XRP/USDT:USDT,6h,12,1.6,30,30,30,25,30,True,True,True,False,True,True,50,60,3,4.5,50,50,$2,%5,True,30m
A13,APT/USDT:USDT,6h,12,1.6,30,30,30,25,30,True,True,True,False,True,True,50,20,3,4.5,50,50,$1.5,%5,True,30m
A14,1000SHIB/USDT:USDT,6h,12,1.6,30,30,30,25,30,True,True,True,False,True,True,50,60,3,4.5,50,50,$1.5,%5,True,30m
A15,GALA/USDT:USDT,6h,12,1.6,30,30,30,25,30,True,True,True,False,True,True,50,60,3,4.5,50,50,$1.5,%5,True,30m
A16,C98/USDT:USDT,1d,12,1.6,30,30,30,25,30,True,True,True,False,True,True,50,60,3,4.5,50,50,$3,%5,True,6h
A17,ZIL/USDT:USDT,6h,12,1.6,30,30,30,25,30,True,True,True,False,True,True,25,60,3,4.5,50,50,$1.5,%5,True,30m
A18,CHZ/USDT:USDT,1d,12,1.6,30,30,30,25,30,True,True,True,False,True,True,50,60,3,4.5,50,50,$2,%10,True,6h
A19,TRX/USDT:USDT,1d,12,1.6,30,30,30,25,30,True,True,True,False,True,True,50,60,3,4.5,50,50,$2,%10,True,6h
A20,NEAR/USDT:USDT,1h,2,3.0,21,15,5,14,14,True,True,True,False,True,True,50,60,3,4.5,50,50,$1,%5,True,15m

