EntryTime,ExitTime,Symbol,TF,Position,Amount,EntryPrice,ClosePrice,TP,SL,PNL$
Sat Feb 18 16:37:47 2023,Fri Feb 24 23:09:04 2023,SOL/USDT:USDT,6h,Long,1.0,23.195,25.788,,19.66,2.593
Sat Feb 18 16:37:47 2023,Fri Mar  3 08:45:00 2023,XRP/USDT:USDT,6h,Long,57.9,0.3932,0.3601,['0.4913'],0.3605,-1.916
Sat Feb 18 18:01:44 2023,Thu Feb 23 07:03:30 2023,APT/USDT:USDT,6h,Long,0.6,14.304,13.86,['20.214'],12.334,-0.266
Sat Feb 18 19:00:33 2023,,DEFI/USDT:USDT,6h,Long,0.018,685.5,,['998.7'],581.1,
Sun Feb 19 01:01:26 2023,Sat Feb 25 02:45:00 2023,GALA/USDT:USDT,6h,Long,201.0,0.04778,0.04034,0.07010,0.04034,-1.495
Sun Feb 19 11:51:26 2023,Sun Feb 26 19:00:16 2023,AVAX/USDT:USDT,6h,Long,1.0,19.609,16.801,,16.821,-2.774
Mon Feb 20 07:02:30 2023,Fri Feb 24 23:09:04 2023,HNT/USDT:USDT,6h,Long,5.0,2.915,3.244,['4.148'],2.504,1.645
Tue Feb 21 19:30:00 2023,Wed Feb 22 01:00:04 2023,AVAX/USDT:USDT,30m,Short,2.0,20.223,20.999,['17.895'],20.999,-1.552
Wed Feb 22 21:00:04 2023,Fri Mar  3 12:00:00 2023,NEAR/USDT:USDT,1h,Short,3.0,2.462,2.114,['1.55'],2.766,1.044
Thu Feb 23 07:03:30 2023,Sun Feb 26 05:45:00 2023,APT/USDT:USDT,6h,Short,1.3,13.877,12.075,['10.547'],14.987,2.343
Thu Feb 23 23:00:05 2023,Sun Feb 26 23:10:16 2023,AVAX/USDT:USDT,30m,Short,2.0,19.847,18.155,['17.141'],20.749,3.384
Sat Mar  4 13:00:58 2023,Thu Mar 16 19:19:21 2023,ZIL/USDT:USDT,6h,Short,177.0,0.02843,0.02723,['0.00287'],0.03695,0.212
Sun Mar  5 01:00:00 2023,,ETH/USDT:USDT,6h,Short,0.011,1561.5,,['1057.26'],1729.58,
